ID,NUMBER,CONCEPTICON_ID,CONCEPTICON_GLOSS,ENGLISH,DIACL_ID,DIACL_CATEGORY,DIACL_NOTE
Carling-2017-104a-1,1,98,ALL,all (of a number),1001,,
Carling-2017-104a-2,2,646,ASH,ash(es),1002,,
Carling-2017-104a-3,3,1204,BARK,bark (of tree),1003,,
Carling-2017-104a-4,4,2114,BELLY OR STOMACH,"belly (abdomen, stomach)",1004,,
Carling-2017-104a-5,5,1202,BIG,big,1005,,
Carling-2017-104a-6,6,937,BIRD,bird,1006,,
Carling-2017-104a-7,7,1403,BITE,to bite,1007,,
Carling-2017-104a-8,8,163,BLACK,black (colour),1008,,
Carling-2017-104a-9,9,946,BLOOD,blood (n),1009,,
Carling-2017-104a-10,10,1394,BONE,bone,1010,,
Carling-2017-104a-11,11,1402,BREAST,breast,1011,,
Carling-2017-104a-12,12,1428,BURNING,to burn (intr.),1012,,
Carling-2017-104a-13,13,1258,FINGERNAIL,fingernail,1013,,
Carling-2017-104a-14,14,1489,CLOUD,cloud (not fog),1014,,
Carling-2017-104a-15,15,2483,COLD (OF WEATHER),cold (of weather),1015,,
Carling-2017-104a-16,16,1446,COME,to come,1016,,
Carling-2017-104a-17,17,1494,DIE,to die,1017,,
Carling-2017-104a-18,18,2009,DOG,dog,1018,,
Carling-2017-104a-19,19,1401,DRINK,to drink,1019,,
Carling-2017-104a-20,20,1398,DRY,dry (adj),1020,,
Carling-2017-104a-21,21,1247,EAR,ear,1021,,
Carling-2017-104a-22,22,1228,EARTH (SOIL),"earth (soil, ground)",1022,,
Carling-2017-104a-23,23,1336,EAT,to eat,1023,,
Carling-2017-104a-24,24,744,EGG,egg,1024,,
Carling-2017-104a-25,25,1248,EYE,eye,1025,,
Carling-2017-104a-26,26,323,FAT (ORGANIC SUBSTANCE),fat (organic substance),1026,,
Carling-2017-104a-27,27,1201,FEATHER,feather (not down),1027,,
Carling-2017-104a-28,28,221,FIRE,fire,1028,,
Carling-2017-104a-29,29,227,FISH,fish (n),1029,,
Carling-2017-104a-30,30,1441,FLY (MOVE THROUGH AIR),to fly,1030,,
Carling-2017-104a-31,31,1301,FOOT,foot (not leg),1031,,
Carling-2017-104a-32,32,1429,FULL,full,1032,,
Carling-2017-104a-33,33,1447,GIVE,to give,1033,,
Carling-2017-104a-34,34,1035,GOOD,good,1034,,
Carling-2017-104a-35,35,1425,GREEN,green (colour),1035,,
Carling-2017-104a-36,36,2648,HAIR (HEAD),hair (of head),1036,,
Carling-2017-104a-37,37,1277,HAND,hand (not arm),1037,,
Carling-2017-104a-38,38,1256,HEAD,head (anatomic),1038,,
Carling-2017-104a-39,39,1408,HEAR,to hear,1039,,
Carling-2017-104a-40,40,1223,HEART,heart (organ),1040,,
Carling-2017-104a-41,41,1393,HORN (ANATOMY),horn,1041,,
Carling-2017-104a-42,42,1209,I,I (1sg),1042,,
Carling-2017-104a-43,43,1417,KILL,to kill,1043,,
Carling-2017-104a-44,44,1371,KNEE,knee,1044,,
Carling-2017-104a-45,45,1410,KNOW (SOMETHING),to know,1045,,
Carling-2017-104a-46,46,628,LEAF,leaf (botanics),1046,,
Carling-2017-104a-47,47,1411,LIE (REST),to lie (recline),1047,,
Carling-2017-104a-48,48,1224,LIVER,liver,1048,,
Carling-2017-104a-49,49,1203,LONG,long (adj),1049,,
Carling-2017-104a-50,50,1392,LOUSE,louse (lice),1050,,
Carling-2017-104a-51,51,1554,MAN,man (adult male human),1051,,
Carling-2017-104a-52,52,1198,MANY,many,1052,,
Carling-2017-104a-53,53,2615,FLESH OR MEAT,meat/flesh,1053,,
Carling-2017-104a-54,54,1313,MOON,moon,1054,,
Carling-2017-104a-55,55,639,MOUNTAIN,mountain,1055,,
Carling-2017-104a-56,56,674,MOUTH,mouth,1056,,
Carling-2017-104a-57,57,1405,NAME,name,1057,,
Carling-2017-104a-58,58,1333,NECK,neck,1058,,
Carling-2017-104a-59,59,1231,NEW,new,1059,,
Carling-2017-104a-60,60,1233,NIGHT,night,1060,,
Carling-2017-104a-61,61,1221,NOSE,nose,1061,,
Carling-2017-104a-62,62,1240,NOT,not,1062,,
Carling-2017-104a-63,63,1493,ONE,one,1063,,
Carling-2017-104a-64,64,683,PERSON,person (individual human),1064,,
Carling-2017-104a-65,65,658,RAIN (PRECIPITATION),rain (n),1065,,
Carling-2017-104a-66,66,156,RED,red (colour),1066,,
Carling-2017-104a-67,67,2457,PATH OR ROAD,road/path,1067,,
Carling-2017-104a-68,68,670,ROOT,root (botanics),1068,,
Carling-2017-104a-69,69,1395,ROUND,round,1069,,
Carling-2017-104a-70,70,671,SAND,sand,1070,,
Carling-2017-104a-71,71,1458,SAY,to say,1071,,
Carling-2017-104a-72,72,1409,SEE,to see,1072,,
Carling-2017-104a-73,73,714,SEED,seed (n),1073,,
Carling-2017-104a-74,74,1416,SIT,to sit,1074,,
Carling-2017-104a-75,75,2613,SKIN (HUMAN),skin (person's),1075,,
Carling-2017-104a-76,76,1585,SLEEP,to sleep,1076,,
Carling-2017-104a-77,77,1246,SMALL,small,1077,,
Carling-2017-104a-78,78,778,SMOKE (EXHAUST),smoke (n),1078,,
Carling-2017-104a-79,79,1442,STAND,to stand,1079,,
Carling-2017-104a-80,80,1430,STAR,star,1080,,
Carling-2017-104a-81,81,857,STONE,stone,1081,,
Carling-2017-104a-82,82,1343,SUN,sun,1082,,
Carling-2017-104a-83,83,1439,SWIM,to swim,1083,,
Carling-2017-104a-84,84,1220,TAIL,tail,1084,,
Carling-2017-104a-85,85,78,THAT,"that (deixis, distal)",1085,,
Carling-2017-104a-86,86,1214,THIS,"this (deixis, proximal)",1086,,
Carling-2017-104a-87,87,1215,THOU,thou (2sg),1087,,
Carling-2017-104a-88,88,1205,TONGUE,tongue (anatomical),1088,,
Carling-2017-104a-89,89,1380,TOOTH,tooth (general),1089,,
Carling-2017-104a-90,90,906,TREE,tree,1090,,
Carling-2017-104a-91,91,1498,TWO,two,1091,,
Carling-2017-104a-92,92,1443,WALK,to walk,1092,,
Carling-2017-104a-93,93,2110,WARM (OF WEATHER),warm (of weather),1093,,
Carling-2017-104a-94,94,948,WATER,water (n),1094,,
Carling-2017-104a-95,95,1212,WE,we (1pl),1095,,
Carling-2017-104a-96,96,1236,WHAT,what?,1096,,
Carling-2017-104a-97,97,1335,WHITE,white (colour),1097,,
Carling-2017-104a-98,98,1235,WHO,who?,1098,,
Carling-2017-104a-99,99,962,WOMAN,woman,1099,,
Carling-2017-104a-100,100,1424,YELLOW,yellow (colour),1100,,
Carling-2017-104a-101,101,2099,CHILD,child,1101,,
Carling-2017-104a-102,102,1131,WE (INCLUSIVE),we (1pl incl.),1103,,
Carling-2017-104a-103,103,1213,YOU,you (2pl),1104,,
Carling-2017-104a-104,104,1130,WE (EXCLUSIVE),we (1pl excl.),12370,,
Carling-2017-10h-1,1,163,BLACK,colour term black,12141,Colour terms,
Carling-2017-10h-2,2,1335,WHITE,colour term white,12142,Colour terms,
Carling-2017-10h-3,3,156,RED,colour term red,12143,Colour terms,
Carling-2017-10h-4,4,837,BLUE,colour term blue,12144,Colour terms,
Carling-2017-10h-5,5,1425,GREEN,colour term green,12145,Colour terms,
Carling-2017-10h-6,6,1424,YELLOW,colour term yellow,12146,Colour terms,
Carling-2017-10h-7,7,2409,BROWN,colour term brown,12147,Colour terms,
Carling-2017-10h-8,8,,*ORANGE (COLOR),colour term orange,12148,Colour terms,
Carling-2017-10h-9,9,2452,PURPLE,colour term purple,12149,Colour terms,
Carling-2017-10h-10,10,153,GREY,colour term grey,12150,Colour terms,
Carling-2017-112e-1,1,1337,PIG,pig,5001,Farm animals,
Carling-2017-112e-2,2,265,FOWL,chicken / fowl,5002,Farm animals,
Carling-2017-112e-3,3,2009,DOG,dog,5003,Farm animals,
Carling-2017-112e-4,4,1208,CAT,cat,5004,Farm animals,
Carling-2017-112e-5,5,1502,GOAT,goat,5006,Farm animals,
Carling-2017-112e-6,6,934,BUFFALO,buffalo,5005,Wild animals,
Carling-2017-112e-7,7,665,BEE,bee,5007,Wild animals,
Carling-2017-112e-8,8,1820,BEAR,bear,5008,Wild animals,
Carling-2017-112e-9,9,846,TIGER,tiger,5009,Wild animals,
Carling-2017-112e-10,10,3154,WILD BOAR,pig (wild),5010,Wild animals,
Carling-2017-112e-11,11,,*FLYING SQUIRREL,flying squirrel,5011,Wild animals,
Carling-2017-112e-12,12,1793,BAT,bat / fruit bat,5012,Wild animals,
Carling-2017-112e-13,13,937,BIRD,bird,5013,Wild animals,
Carling-2017-112e-14,14,730,SNAKE,snake (e.g. cobra),5014,Wild animals,
Carling-2017-112e-15,15,227,FISH,fish,5015,Wild animals,
Carling-2017-112e-16,16,1490,RAT,rat,5016,Wild animals,
Carling-2017-112e-17,17,2348,CRAB,crab,5017,Wild animals,
Carling-2017-112e-18,18,1013,FRESHWATER EEL,(freshwater) eel,5018,Wild animals,
Carling-2017-112e-19,19,1350,MONKEY,monkey,5019,Wild animals,
Carling-2017-112e-20,20,942,HONEY,honey,5020,Products,
Carling-2017-112e-21,21,1524,WINE,wine (rice),5021,Products,
Carling-2017-112e-22,22,1274,SALT,salt,5022,Products,
Carling-2017-112e-23,23,862,SUGAR,sugar,5023,Products,
Carling-2017-112e-24,24,2769,PORK,pork,5024,Products,
Carling-2017-112e-25,25,634,MEAT,meat (food),5025,Products,
Carling-2017-112e-26,26,2551,ORGANIC FAT OR OIL,oil / grease,5026,Products,
Carling-2017-112e-27,27,133,WEAVE,to weave,5027,Activities,
Carling-2017-112e-28,28,1457,SEW,to sew,5028,Activities,
Carling-2017-112e-29,29,748,SOW SEEDS,to sow,5029,Activities,
Carling-2017-112e-30,30,1100,COOK (SOMETHING),to cook,5030,Activities,
Carling-2017-112e-31,31,1261,SING,to sing,5031,Activities,
Carling-2017-112e-32,32,1879,DANCE,to dance,5032,Activities,
Carling-2017-112e-33,33,1435,HUNT,to hunt,5033,Activities,
Carling-2017-112e-34,34,354,POUND,to pound (rice),5034,Activities,
Carling-2017-112e-35,35,2026,RICE PLANT,rice (crop),5035,Crops & fruit,
Carling-2017-112e-36,36,926,RICE,rice (grain),5036,Crops & fruit,
Carling-2017-112e-37,37,1191,COOKED RICE,rice (cooked),5037,Crops & fruit,
Carling-2017-112e-38,38,931,MILLET,millet,5038,Crops & fruit,
Carling-2017-112e-39,39,506,MAIZE,maize,5039,Crops & fruit,
Carling-2017-112e-40,40,146,SUGAR CANE,sugar-cane,5040,Crops & fruit,
Carling-2017-112e-41,41,217,BETELNUT,betel nut,5041,Crops & fruit,
Carling-2017-112e-42,42,159,SWEET POTATO,sweet potato,5042,Crops & fruit,
Carling-2017-112e-43,43,351,TARO,taro,5043,Crops & fruit,
Carling-2017-112e-44,44,868,BANANA,banana,5044,Crops & fruit,
Carling-2017-112e-45,45,970,COCONUT,coconut,5045,Crops & fruit,
Carling-2017-112e-46,46,1507,FRUIT,fruit,5046,Crops & fruit,
Carling-2017-112e-47,47,346,BANYAN,banyan,5047,Crops & fruit,
Carling-2017-112e-48,48,410,YAM,yam (Dioscorea),5048,Crops & fruit,
Carling-2017-112e-49,49,2445,PAPAYA,papaya,5049,Crops & fruit,
Carling-2017-112e-50,50,2398,MANGO,mango,5050,Crops & fruit,
Carling-2017-112e-51,51,1844,BOAT,boat,5051,Cultural artefacts & tools,
Carling-2017-112e-52,52,1970,CANOE,canoe,5052,Cultural artefacts & tools,
Carling-2017-112e-53,53,,*OAR OR PADDLE,oar / paddle,5053,Cultural artefacts & tools,
Carling-2017-112e-54,54,786,SAILCLOTH,sail,5054,Cultural artefacts & tools,
Carling-2017-112e-55,55,1948,SAW,saw,5055,Cultural artefacts & tools,
Carling-2017-112e-56,56,677,AXE,axe,5056,Cultural artefacts & tools,
Carling-2017-112e-57,57,1787,LOOM,loom,5057,Cultural artefacts & tools,
Carling-2017-112e-58,58,1462,POT,pot,5058,Cultural artefacts & tools,
Carling-2017-112e-59,59,284,HOE,hoe,5059,Cultural artefacts & tools,
Carling-2017-112e-60,60,,*JEW’S HARP,Jew's harp,5060,Cultural artefacts & tools,
Carling-2017-112e-61,61,140,PADDY FIELD,field (wet) / rice paddy,5061,Cultural artefacts & tools,
Carling-2017-112e-62,62,2794,FIELD (UPLAND),field (dry),5062,Cultural artefacts & tools,
Carling-2017-112e-63,63,224,MORTAR CRUSHER,mortar,5063,Cultural artefacts & tools,
Carling-2017-112e-64,64,225,PESTLE,pestle,5064,Cultural artefacts & tools,
Carling-2017-112e-65,65,1075,TRAP (PITFALL),trap,5065,Cultural artefacts & tools,
Carling-2017-112e-66,66,,*SNARE (TRAP),snare,5066,Cultural artefacts & tools,
Carling-2017-112e-67,67,1218,ROPE,rope,5067,Cultural artefacts & tools,
Carling-2017-112e-68,68,1539,BASKET,basket,5068,Cultural artefacts & tools,
Carling-2017-112e-69,69,245,BROOM,broom,5069,Cultural artefacts & tools,
Carling-2017-112e-70,70,195,MAT,mat,5070,Cultural artefacts & tools,
Carling-2017-112e-71,71,1895,CLOTHES,clothing,5071,Cultural artefacts & tools,
Carling-2017-112e-72,72,2282,SEA OR OCEAN,sea / ocean,5072,Seasons & nature,
Carling-2017-112e-73,73,,*POND OR LAKE,pond / lake,5073,Seasons & nature,
Carling-2017-112e-74,74,,*SNOW OR ICE,snow / ice,5074,Seasons & nature,
Carling-2017-112e-75,75,1342,SUMMER,summer / warm season,5075,Seasons & nature,
Carling-2017-112e-76,76,1471,WINTER,winter / cold season,5076,Seasons & nature,
Carling-2017-112e-77,77,,*MONSOON SEASON,monsoon season,5077,Seasons & nature,
Carling-2017-112e-78,78,1276,AUTUMN,autumn,5078,Seasons & nature,
Carling-2017-112e-79,79,1537,SPRINGTIME,spring,5079,Seasons & nature,
Carling-2017-112e-80,80,,*IRON OR METAL,iron / metal,5080,Metals & materials,
Carling-2017-112e-81,81,759,SILVER,silver,5081,Metals & materials,
Carling-2017-112e-82,82,1369,GOLD,gold,5082,Metals & materials,
Carling-2017-112e-83,83,,*PEARL,pearl,5083,Metals & materials,
Carling-2017-112e-84,84,,,cowry shell,5084,Metals & materials,
Carling-2017-112e-85,85,1803,WOOD,wood,5085,Metals & materials,
Carling-2017-112e-86,86,857,STONE,stone,5086,Metals & materials,
Carling-2017-112e-87,87,,*LEATHER OR HIDE,leather / hide,5087,Metals & materials,
Carling-2017-112e-88,88,1616,CLOTH,cloth,5088,Metals & materials,
Carling-2017-112e-89,89,1927,BAMBOO,bamboo,5089,Metals & materials,
Carling-2017-112e-90,90,648,PAPER,paper,5090,Metals & materials,
Carling-2017-112e-91,91,1188,CHARCOAL,charcoal,5091,Metals & materials,
Carling-2017-112e-92,92,2680,MACHETE,machete,5092,Weapons,
Carling-2017-112e-93,93,994,BOW,bow,5093,Weapons,
Carling-2017-112e-94,94,977,ARROW,arrow,5094,Weapons,
Carling-2017-112e-95,95,1352,KNIFE,knife,5095,Weapons,
Carling-2017-112e-96,96,945,SPEAR,spear,5096,Weapons,
Carling-2017-112e-97,97,,,head-hunting,5097,Belief,
Carling-2017-112e-98,98,24,PRAY,to pray,5098,Belief,
Carling-2017-112e-99,99,394,SHAMAN (FOLK HEALER),shaman / medicine-man,5099,Belief,
Carling-2017-112e-100,100,499,CURE,"to heal, to cure",5100,Belief,
Carling-2017-112e-101,101,823,SORCERER,sorcerer,5101,Belief,
Carling-2017-112e-102,102,1175,GHOST,ghost,5102,Belief,
Carling-2017-112e-103,103,1973,DEMON,demon,5103,Belief,
Carling-2017-112e-104,104,1259,WEDDING,wedding,5104,Belief,
Carling-2017-112e-105,105,1773,GRAVE,grave,5105,Belief,
Carling-2017-112e-106,106,1669,ANCESTORS,ancestor(s),5106,Belief,
Carling-2017-112e-107,107,1343,SUN,sun,5107,Astronomy,
Carling-2017-112e-108,108,1313,MOON,moon,5108,Astronomy,
Carling-2017-112e-109,109,1430,STAR,star,5109,Astronomy,
Carling-2017-112e-110,110,1252,HOUSE,house,5110,Settlement,
Carling-2017-112e-111,111,1011,BRIDGE,bridge,5111,Settlement,
Carling-2017-112e-112,112,930,VILLAGE,village,5112,Settlement,
Carling-2017-127g-1,1,1008,BULL,bull,12001,Farm animals,
Carling-2017-127g-2,2,1007,COW,cow,12002,Farm animals,
Carling-2017-127g-3,3,1169,OX,ox,12003,Farm animals,
Carling-2017-127g-4,4,1153,CATTLE,cattle (collective term),12004,Farm animals,
Carling-2017-127g-5,5,615,HORSE,horse,12005,Farm animals,
Carling-2017-127g-6,6,1862,DONKEY,donkey,12006,Farm animals,
Carling-2017-127g-7,7,1331,SHEEP,sheep (collective term),12007,Farm animals,
Carling-2017-127g-8,8,1344,RAM,ram,12008,Farm animals,
Carling-2017-127g-9,9,820,LAMB,lamb,12009,Farm animals,
Carling-2017-127g-10,10,1502,GOAT,goat,12010,Farm animals,
Carling-2017-127g-11,11,1337,PIG,pig,12011,Farm animals,
Carling-2017-127g-12,12,2564,PIGLET,piglet,12012,Farm animals,
Carling-2017-127g-13,13,1514,HEN,hen,12013,Farm animals,
Carling-2017-127g-14,14,1511,ROOSTER,rooster,12014,Farm animals,
Carling-2017-127g-15,15,1318,CHICKEN,chicken,12015,Farm animals,
Carling-2017-127g-16,16,1360,DUCK,duck,12016,Farm animals,
Carling-2017-127g-17,17,2009,DOG,dog,12017,Farm animals,
Carling-2017-127g-18,18,1208,CAT,cat,12018,Farm animals,
Carling-2017-127g-19,19,665,BEE,bee,12019,Farm animals,
Carling-2017-127g-20,20,,*YEARLING (HORSE),yearling,12020,Farm animals,
Carling-2017-127g-21,21,522,WOLF,wolf,12021,Wild animals,
Carling-2017-127g-22,22,1820,BEAR,bear,12022,Wild animals,
Carling-2017-127g-23,23,3154,WILD BOAR,wild pig,12023,Wild animals,
Carling-2017-127g-24,24,1139,LEOPARD,leopard,12024,Wild animals,
Carling-2017-127g-25,25,1386,LION,lion,12025,Wild animals,
Carling-2017-127g-26,26,1312,FOX,fox,12026,Wild animals,
Carling-2017-127g-27,27,,*JACKAL,jackal,12027,Wild animals,
Carling-2017-127g-28,28,3142,BISON,bison,12028,Wild animals,
Carling-2017-127g-29,29,1190,HARE,hare,12029,Wild animals,
Carling-2017-127g-30,30,1136,RABBIT,rabbit,12030,Wild animals,
Carling-2017-127g-31,31,730,SNAKE,snake,12031,Wild animals,
Carling-2017-127g-32,32,2543,RAVEN,raven,12032,Wild animals,
Carling-2017-127g-33,33,1905,EAGLE,eagle,12033,Wild animals,
Carling-2017-127g-34,34,1936,DEER,deer,12034,Wild animals,
Carling-2017-127g-35,35,964,WOOL,wool,12035,Products,
Carling-2017-127g-36,36,580,FUR,fur,12036,Products,
Carling-2017-127g-37,37,942,HONEY,honey,12037,Products,
Carling-2017-127g-38,38,635,MILK,milk,12038,Products,
Carling-2017-127g-39,39,1274,SALT,salt,12039,Products,
Carling-2017-127g-40,40,1524,WINE,wine,12040,Products,
Carling-2017-127g-41,41,941,MEAD,mead,12041,Products,(i.e. based on honey)
Carling-2017-127g-42,42,,*HOPS,hops,12042,Products,(Swe. humle)
Carling-2017-127g-43,43,1931,BEESWAX,beeswax,12043,Products,
Carling-2017-127g-44,44,634,MEAT,meat,12044,Products,
Carling-2017-127g-45,45,323,FAT (ORGANIC SUBSTANCE),grease,12045,Products,
Carling-2017-127g-46,46,133,WEAVE,to weave,12046,Activities,
Carling-2017-127g-47,47,121,SPIN,to spin (thread),12047,Activities,
Carling-2017-127g-48,48,1457,SEW,to sew,12048,Activities,
Carling-2017-127g-49,49,1921,PLOUGH,to plough,12049,Activities,
Carling-2017-127g-50,50,748,SOW SEEDS,to sow,12050,Activities,
Carling-2017-127g-51,51,1077,WHEAT,wheat,12051,Crops & fruit,
Carling-2017-127g-52,52,932,BARLEY,barley,12052,Crops & fruit,
Carling-2017-127g-53,53,23,RYE,rye,12053,Crops & fruit,
Carling-2017-127g-54,54,60,OAT,oats,12054,Crops & fruit,
Carling-2017-127g-55,55,,*LENTILS,lentils,12055,Crops & fruit,
Carling-2017-127g-56,56,605,GRAIN,grain (generic),12056,Crops & fruit,
Carling-2017-127g-57,57,3062,TURNIP,turnip,12057,Crops & fruit,
Carling-2017-127g-58,58,1320,APPLE,apple,12058,Crops & fruit,
Carling-2017-127g-59,59,904,BERRY,berry,12059,Crops & fruit,
Carling-2017-127g-60,60,920,GRAPE,grape,12060,Crops & fruit,
Carling-2017-127g-61,61,,*FLAX,flax,12061,Crops & fruit,
Carling-2017-127g-62,62,20,SCYTHE,scythe,12062,Cultural artefacts & tools,
Carling-2017-127g-63,63,341,SICKLE,sickle,12063,Cultural artefacts & tools,
Carling-2017-127g-64,64,1176,SPADE,spade,12064,Cultural artefacts & tools,
Carling-2017-127g-65,65,2154,PLOUGH (INSTRUMENT),plough (n),12065,Cultural artefacts & tools,
Carling-2017-127g-66,66,1948,SAW,saw,12066,Cultural artefacts & tools,
Carling-2017-127g-67,67,677,AXE,axe,12067,Cultural artefacts & tools,
Carling-2017-127g-68,68,14,YOKE,yoke,12068,Cultural artefacts & tools,
Carling-2017-127g-69,69,959,WAGON,wagon,12069,Cultural artefacts & tools,
Carling-2017-127g-70,70,710,WHEEL,wheel,12070,Cultural artefacts & tools,
Carling-2017-127g-71,71,,,hub,12071,Cultural artefacts & tools,
Carling-2017-127g-72,72,1769,AXLE,axle,12072,Cultural artefacts & tools,
Carling-2017-127g-73,73,212,FIELD,cultivated field,12073,Cultural artefacts & tools,
Carling-2017-127g-74,74,649,PASTURE,pasture,12074,Cultural artefacts & tools,
Carling-2017-127g-75,75,1794,FURROW,furrow,12075,Cultural artefacts & tools,
Carling-2017-127g-76,76,1462,POT,(ceramic) pot,12076,Cultural artefacts & tools,
Carling-2017-127g-77,77,777,FLUTE,flutes,12077,Cultural artefacts & tools,
Carling-2017-127g-78,78,1342,SUMMER,summer,12078,Seasons,
Carling-2017-127g-79,79,1276,AUTUMN,autumn,12079,Seasons,
Carling-2017-127g-80,80,611,HARVEST,harvest,12080,Seasons,
Carling-2017-127g-81,81,1471,WINTER,winter,12081,Seasons,
Carling-2017-127g-82,82,1537,SPRINGTIME,spring,12082,Seasons,
Carling-2017-127g-83,83,1825,COPPER,copper,12083,Metals & materials,
Carling-2017-127g-84,84,621,IRON,iron,12084,Metals & materials,
Carling-2017-127g-85,85,759,SILVER,silver,12085,Metals & materials,
